1st_key,2nd_key,mean,std
 , ,571.180168450177,1321.7967853912667
 ,a,264.75131858432377,303.27244029249806
 ,b,353.43050320769845,384.92464863593267
 ,c,354.1608929789082,370.623038004957
 ,d,361.6418103163323,394.7388753661712
 ,e,378.5994233463352,433.13407030340807
 ,f,359.6535284921766,404.14185127250425
 ,g,378.9825672947344,371.9389763877702
 ,h,336.6900229982277,370.78312519546785
 ,i,302.35141959800137,350.65025613236213
 ,j,401.14504374181996,416.6499380837009
 ,k,323.9957336028349,406.01470336671366
 ,l,308.9462017491124,349.5375886753327
 ,m,303.34542783878044,335.40613565227846
 ,n,314.34158471507084,364.1818661912984
 ,o,324.06782989486237,364.31829724581615
 ,p,377.37818803169966,401.22433007724646
 ,q,529.4714974429135,538.1852554779027
 ,r,376.0282473769945,410.3998518302555
 ,s,321.2593327082226,362.5048496772339
 ,t,280.63103188356934,326.2159424052153
 ,u,387.0581694928074,455.7865138285689
 ,v,456.10899716257995,430.4747654242078
 ,w,310.3583635586235,369.2503424687281
 ,x,572.8230088495575,746.8347267980428
 ,y,341.56085708304676,360.0273988554738
 ,z,511.98483263598325,479.6228691146666
a, ,174.42625433514525,168.34532043994201
a,a,275.605559025609,512.644798806735
a,b,256.35918602142806,278.2360864791377
a,c,269.74651772875785,239.6921846976843
a,d,249.9227308484735,208.91251716021927
a,e,335.7252914546693,332.34445678191423
a,f,291.43804246628827,276.74181268300913
a,g,280.74445787425503,268.5650816007222
a,h,258.4975201197829,312.47799199045215
a,i,205.45366941368206,230.32773694726936
a,j,364.61237709658764,378.6846056419093
a,k,207.03991030562528,252.80623363173672
a,l,193.2475666170096,210.31275582062133
a,m,193.60246587969027,188.80830304633295
a,n,180.37409516922395,197.77468819315956
a,o,280.6858162020088,284.8568985142064
a,p,254.77313441718826,256.0450261062971
a,q,465.60630372492835,394.7684480779272
a,r,224.4080252853484,214.38824425403158
a,s,196.66699861903803,171.78650491208293
a,t,215.0902983521891,211.87962243765202
a,u,276.5205128205128,268.27438620289536
a,v,223.42795654646352,245.11529425389935
a,w,274.5653543717128,277.9509006562887
a,x,393.81168953204286,283.4229842791736
a,y,216.56999416494267,213.22316519254082
a,z,495.2995590195877,539.1046573611859
b, ,261.82068342759374,239.28863189764166
b,a,170.40300995479842,170.31776758443814
b,b,191.49813571961224,211.51754367672999
b,c,334.0600814663951,331.45610769824793
b,d,337.3429385687144,353.4495780783354
b,e,166.8433454277311,145.30134815031988
b,f,354.612582781457,356.0664001319722
b,g,200.41522157996147,307.08282775926745
b,h,259.84365781710915,366.30439985704254
b,i,236.41996483486176,223.31142625122666
b,j,351.62931034482756,393.6113627330437
b,k,309.44665885111374,274.13420007613485
